mouse_symbol	class	n_human_targets	human_targets
Kirrel	NOT_FOUND_IN_BIOMART	0	
Klc3	ortholog_one2one	1	KLC3:ENSG00000104892
Klf4	ortholog_one2one	1	KLF4:ENSG00000136826
Klf6	ortholog_one2one	1	KLF6:ENSG00000067082
Klhl13	ortholog_one2one	1	KLHL13:ENSG00000003096
Klrg2	ortholog_one2one	1	KLRG2:ENSG00000188883
Krba1	ortholog_one2one	1	KRABD3:ENSG00000133619
Krt13	NO_ORTHOLOG	0	
Krt14	ortholog_one2one	1	KRT14:ENSG00000186847
Krt15	ortholog_one2one	1	KRT15:ENSG00000171346
Krt16	ortholog_one2one	1	KRT16:ENSG00000186832
Krt17	ortholog_one2one	1	KRT17:ENSG00000128422
Krt18	ortholog_one2one	1	KRT18:ENSG00000111057
Krt19	ortholog_one2one	1	KRT19:ENSG00000171345
Krt20	ortholog_one2one	1	KRT20:ENSG00000171431
Krt23	ortholog_one2one	1	KRT23:ENSG00000108244
Krt4	ortholog_one2one	1	KRT4:ENSG00000170477
Krt6A	NOT_FOUND_IN_BIOMART	0	
Krt7	ortholog_one2one	1	KRT7:ENSG00000135480
Krt80	ortholog_one2one	1	KRT80:ENSG00000167767
Krt9	ortholog_one2one	1	KRT9:ENSG00000171403
Ktn1	ortholog_one2one	1	KTN1:ENSG00000126777
Lama3	ortholog_one2one	1	LAMA3:ENSG00000053747
Lama4	ortholog_one2one	1	LAMA4:ENSG00000112769
Lama5	ortholog_one2one	1	LAMA5:ENSG00000130702
Lamb1	ortholog_one2one	1	LAMB1:ENSG00000091136
Lamb2	ortholog_one2one	1	LAMB2:ENSG00000172037
Lamb3	ortholog_one2one	1	LAMB3:ENSG00000196878
Lamc1	ortholog_one2one	1	LAMC1:ENSG00000135862
Lamc2	ortholog_one2one	1	LAMC2:ENSG00000058085
Laptm5	ortholog_one2one	1	LAPTM5:ENSG00000162511
Lasp1	ortholog_one2one	1	LASP1:ENSG00000002834
Lats2	ortholog_one2one	1	LATS2:ENSG00000150457
Lbh	ortholog_one2one	1	LBH:ENSG00000213626
Lbp	ortholog_one2one	1	LBP:ENSG00000129988
Lcn2	ortholog_one2one	1	LCN2:ENSG00000148346
Ldhb	ortholog_one2one	1	LDHB:ENSG00000111716
Ldhd	ortholog_one2one	1	LDHD:ENSG00000166816
Ldoc1L	NOT_FOUND_IN_BIOMART	0	
Lefty1	ambiguous_ortholog_many2many	2	LEFTY1:ENSG00000243709;LEFTY2:ENSG00000143768
Leprel4	NOT_FOUND_IN_BIOMART	0	
Leprotl1	ortholog_one2one	1	LEPROTL1:ENSG00000104660
Lgals1	ortholog_one2one	1	LGALS1:ENSG00000100097
Lgals3	ortholog_one2one	1	LGALS3:ENSG00000131981
Lgals3Bp	NOT_FOUND_IN_BIOMART	0	
Lgi2	ortholog_one2one	1	LGI2:ENSG00000153012
Lgmn	ortholog_one2one	1	LGMN:ENSG00000100600
Lhfpl2	ortholog_one2one	1	LHFPL2:ENSG00000145685
Limk1	ortholog_one2one	1	LIMK1:ENSG00000106683
Lims2	ortholog_one2one	1	LIMS2:ENSG00000072163
Lipa	ortholog_one2one	1	LIPA:ENSG00000107798
Litaf	ortholog_one2one	1	LITAF:ENSG00000189067
Lman2L	NOT_FOUND_IN_BIOMART	0	
Lmna	ortholog_one2one	1	LMNA:ENSG00000160789
Lmo4	ortholog_one2one	1	LMO4:ENSG00000143013
Lmo7	ortholog_one2one	1	LMO7:ENSG00000136153
Lor	NOT_FOUND_IN_BIOMART	0	
Loxl4	ortholog_one2one	1	LOXL4:ENSG00000138131
Lpar6	ortholog_one2one	1	LPAR6:ENSG00000139679
Lpcat4	ortholog_one2one	1	LPCAT4:ENSG00000176454
Lphn3	NOT_FOUND_IN_BIOMART	0	
Lrg1	ortholog_one2one	1	LRG1:ENSG00000171236
Lrp6	ortholog_one2one	1	LRP6:ENSG00000070018
Lrrc20	ortholog_one2one	1	LRRC20:ENSG00000172731
Lrrc26	ortholog_one2one	1	LRRC26:ENSG00000184709
Lrrc49	ortholog_one2one	1	LRRC49:ENSG00000137821
Lrrc8E	NOT_FOUND_IN_BIOMART	0	
Lrrfip1	ortholog_one2one	1	LRRFIP1:ENSG00000124831
Lsm11	ortholog_one2one	1	LSM11:ENSG00000155858
Lsm6	ortholog_one2one	1	LSM6:ENSG00000164167
Lss	ortholog_one2one	1	LSS:ENSG00000160285
Lst1	ortholog_one2one	1	LST1:ENSG00000204482
Ltb	ortholog_one2one	1	LTB:ENSG00000227507
Ltbp1	ortholog_one2one	1	LTBP1:ENSG00000049323
Ltbp3	ortholog_one2one	1	LTBP3:ENSG00000168056
Ltbp4	ortholog_one2one	1	LTBP4:ENSG00000090006
Ltf	ortholog_one2one	1	LTF:ENSG00000012223
Luc7L3	NOT_FOUND_IN_BIOMART	0	
Lum	ortholog_one2one	1	LUM:ENSG00000139329
Lurap1L	NOT_FOUND_IN_BIOMART	0	
Lxn	ortholog_one2one	1	LXN:ENSG00000079257
Ly6A	NOT_FOUND_IN_BIOMART	0	
Ly6C1	NOT_FOUND_IN_BIOMART	0	
Ly6C2	NOT_FOUND_IN_BIOMART	0	
Ly6D	NOT_FOUND_IN_BIOMART	0	
Ly6E	NOT_FOUND_IN_BIOMART	0	
Ly6G6E	NOT_FOUND_IN_BIOMART	0	
Ly96	ortholog_one2one	1	LY96:ENSG00000154589
Lynx1	NO_ORTHOLOG	0	
Lypd3	ortholog_one2one	1	LYPD3:ENSG00000124466
Lyplal1	ortholog_one2one	1	LYPLAL1:ENSG00000143353
Macf1	ortholog_one2one	1	MACF1:ENSG00000127603
Maff	ortholog_one2one	1	MAFF:ENSG00000185022
Maged1	ortholog_one2one	1	MAGED1:ENSG00000179222
Maged2	ortholog_one2one	1	MAGED2:ENSG00000102316
Magee1	ortholog_one2one	1	MAGEE1:ENSG00000198934
Mal	ortholog_one2one	1	MAL:ENSG00000172005
Maml2	ortholog_one2one	1	MAML2:ENSG00000184384
Man2A2	NOT_FOUND_IN_BIOMART	0	
Manba	ortholog_one2one	1	MANBA:ENSG00000109323
Map1B	NOT_FOUND_IN_BIOMART	0	
Map1Lc3A	NOT_FOUND_IN_BIOMART	0	
Map1S	NOT_FOUND_IN_BIOMART	0	
Map3K12	NOT_FOUND_IN_BIOMART	0	
Map7D1	NOT_FOUND_IN_BIOMART	0	
Map9	ortholog_one2one	1	MAP9:ENSG00000164114
Mapk11	ortholog_one2one	1	MAPK11:ENSG00000185386
Mapk12	ortholog_one2one	1	MAPK12:ENSG00000188130
Mapk8Ip1	NOT_FOUND_IN_BIOMART	0	
Mapre1	ortholog_one2one	1	MAPRE1:ENSG00000101367
Mapre2	ortholog_one2one	1	MAPRE2:ENSG00000166974
Marcksl1	ortholog_one2one	1	MARCKSL1:ENSG00000175130
Marveld1	ortholog_one2one	1	MARVELD1:ENSG00000155254
Mbnl2	ortholog_one2one	1	MBNL2:ENSG00000139793
Mboat1	ortholog_one2one	1	MBOAT1:ENSG00000172197
Mboat2	ortholog_one2one	1	MBOAT2:ENSG00000143797
Mcam	ortholog_one2one	1	MCAM:ENSG00000076706
Mcc	ortholog_one2one	1	MCC:ENSG00000171444
Mdfi	ortholog_one2one	1	MDFI:ENSG00000112559
Mdfic	ortholog_one2one	1	MDFIC:ENSG00000135272
Mdm2	ortholog_one2one	1	MDM2:ENSG00000135679
Me1	ortholog_one2one	1	ME1:ENSG00000065833
Mea1	ortholog_one2one	1	MEA1:ENSG00000124733
Med31	ortholog_one2one	1	MED31:ENSG00000108590
Medag	ortholog_one2one	1	MEDAG:ENSG00000102802
Megf8	ortholog_one2one	1	MEGF8:ENSG00000105429
Meis1	ortholog_one2one	1	MEIS1:ENSG00000143995
Meis2	ortholog_one2one	1	MEIS2:ENSG00000134138
Metrn	ortholog_one2one	1	METRN:ENSG00000103260
Mettl7B	NOT_FOUND_IN_BIOMART	0	
Mfap3L	NOT_FOUND_IN_BIOMART	0	
Mfap5	ortholog_one2one	1	MFAP5:ENSG00000197614
Mfhas1	ortholog_one2one	1	MFHAS1:ENSG00000147324
Mfsd1	ortholog_one2one	1	MFSD1:ENSG00000118855
Mfsd2A	NOT_FOUND_IN_BIOMART	0	
Mgarp	ortholog_one2one	1	MGARP:ENSG00000137463
Mgat3	ortholog_one2one	1	MGAT3:ENSG00000128268
Mgat4C	NOT_FOUND_IN_BIOMART	0	
Mgmt	ortholog_one2one	1	MGMT:ENSG00000170430
Mgp	ortholog_one2one	1	MGP:ENSG00000111341
Mis12	ortholog_one2one	1	MIS12:ENSG00000167842
Mkrn3	ortholog_one2one	1	MKRN3:ENSG00000179455
Mlf1	ortholog_one2one	1	MLF1:ENSG00000178053
Mlkl	ortholog_one2one	1	MLKL:ENSG00000168404
Mmp11	ortholog_one2one	1	MMP11:ENSG00000099953
Mmp13	ortholog_one2one	1	MMP13:ENSG00000137745
Mmp14	ortholog_one2one	1	MMP14:ENSG00000157227
Mmp15	ortholog_one2one	1	MMP15:ENSG00000102996
Mmp2	ortholog_one2one	1	MMP2:ENSG00000087245
Mmp23	ortholog_one2one	1	MMP23B:ENSG00000189409
Mmp7	ortholog_one2one	1	MMP7:ENSG00000137673
Mndal	ambiguous_ortholog_one2many	1	MNDA:ENSG00000163563
Mob1A	NOT_FOUND_IN_BIOMART	0	
Morf4L1	NOT_FOUND_IN_BIOMART	0	
Morn2	ortholog_one2one	1	MORN2:ENSG00000188010
Mpv17	ortholog_one2one	1	MPV17:ENSG00000115204
Mras	ortholog_one2one	1	MRAS:ENSG00000158186
Mrc1	ortholog_one2one	1	MRC1:ENSG00000260314
Mrpl18	ortholog_one2one	1	MRPL18:ENSG00000112110
Mrpl43	ortholog_one2one	1	MRPL43:ENSG00000055950
Mrpl9	ortholog_one2one	1	MRPL9:ENSG00000143436
Msantd3	ortholog_one2one	1	MSANTD3:ENSG00000066697
Msantd4	ortholog_one2one	1	MSANTD4:ENSG00000170903
Msln	ortholog_one2one	1	MSLN:ENSG00000102854
Msn	ortholog_one2one	1	MSN:ENSG00000147065
Msrb2	ortholog_one2one	1	MSRB2:ENSG00000148450
Mt-Tc	NOT_FOUND_IN_BIOMART	0	
Mt-Tp	NOT_FOUND_IN_BIOMART	0	
Mtap	ortholog_one2one	1	MTAP:ENSG00000099810
Mtap6	NOT_FOUND_IN_BIOMART	0	
Mtmr10	ortholog_one2one	1	MTMR10:ENSG00000166912
Mtmr11	ortholog_one2one	1	MTMR11:ENSG00000014914
Muc1	ortholog_one2one	1	MUC1:ENSG00000185499
Muc20	ortholog_one2one	1	MUC20:ENSG00000176945
Muc4	ortholog_one2one	1	MUC4:ENSG00000145113
Mvp	ortholog_one2one	1	MVP:ENSG00000013364
Mx2	ambiguous_ortholog_one2many	1	MX1:ENSG00000157601
Mxd4	ortholog_one2one	1	MXD4:ENSG00000123933
Mycbp2	ortholog_one2one	1	MYCBP2:ENSG00000005810
Mycbpap	ortholog_one2one	1	MYCBPAP:ENSG00000136449
Myl12A	NOT_FOUND_IN_BIOMART	0	
Myl7	ortholog_one2one	1	MYL7:ENSG00000106631
Myl9	ortholog_one2one	1	MYL9:ENSG00000101335
Myo1C	NOT_FOUND_IN_BIOMART	0	
Myo1E	NOT_FOUND_IN_BIOMART	0	
Myo1H	NOT_FOUND_IN_BIOMART	0	
Myo5C	NOT_FOUND_IN_BIOMART	0	
Myo7A	NOT_FOUND_IN_BIOMART	0	
Myo9B	NOT_FOUND_IN_BIOMART	0	
Myof	ortholog_one2one	1	MYOF:ENSG00000138119
Naglu	ortholog_one2one	1	NAGLU:ENSG00000108784
Nap1L1	NOT_FOUND_IN_BIOMART	0	
Napa	ortholog_one2one	1	NAPA:ENSG00000105402
Napg	ortholog_one2one	1	NAPG:ENSG00000134265
Napsa	ortholog_one2one	1	NAPSA:ENSG00000131400
Nbea	ortholog_one2one	1	NBEA:ENSG00000172915
Nbl1	ortholog_one2one	1	NBL1:ENSG00000158747
Nceh1	ortholog_one2one	1	NCEH1:ENSG00000144959
Nckap1	ortholog_one2one	1	NCKAP1:ENSG00000061676
Ncmap	ortholog_one2one	1	NCMAP:ENSG00000184454
Ncrna00085	NOT_FOUND_IN_BIOMART	0	
Ndn	ortholog_one2one	1	NDN:ENSG00000182636
Nefh	ortholog_one2one	1	NEFH:ENSG00000100285
Nenf	ortholog_one2one	1	NENF:ENSG00000117691
Nes	ortholog_one2one	1	NES:ENSG00000132688
Neu1	ortholog_one2one	1	NEU1:ENSG00000204386
Nfe2L3	NOT_FOUND_IN_BIOMART	0	
Ngfrap1	NOT_FOUND_IN_BIOMART	0	
Nicn1	ortholog_one2one	1	NICN1:ENSG00000145029
Nid1	ortholog_one2one	1	NID1:ENSG00000116962
Nipa1	ortholog_one2one	1	NIPA1:ENSG00000170113
Nipal2	ortholog_one2one	1	NIPAL2:ENSG00000104361
Nkx2-6	ortholog_one2one	1	NKX2-6:ENSG00000180053
Nme1	ortholog_one2one	1	NME1:ENSG00000239672
Nme5	ortholog_one2one	1	NME5:ENSG00000112981
Nono	ortholog_one2one	1	NONO:ENSG00000147140
Nop58	ortholog_one2one	1	NOP58:ENSG00000055044
Nos2	ortholog_one2one	1	NOS2:ENSG00000007171
Nos3	ortholog_one2one	1	NOS3:ENSG00000164867
Notch3	ortholog_one2one	1	NOTCH3:ENSG00000074181
Noxo1	ortholog_one2one	1	NOXO1:ENSG00000196408
Nphp1	ortholog_one2one	1	NPHP1:ENSG00000144061
Nphp4	ortholog_one2one	1	NPHP4:ENSG00000131697
Npnt	ortholog_one2one	1	NPNT:ENSG00000168743
Nr2F2	NOT_FOUND_IN_BIOMART	0	
Nr4A1	NOT_FOUND_IN_BIOMART	0	
Nrep	ortholog_one2one	1	NREP:ENSG00000134986
Nrip3	ortholog_one2one	1	NRIP3:ENSG00000175352
Nrp1	ortholog_one2one	1	NRP1:ENSG00000099250
Nt5C2	NOT_FOUND_IN_BIOMART	0	
Nt5E	NOT_FOUND_IN_BIOMART	0	
Ntrk2	ortholog_one2one	1	NTRK2:ENSG00000148053
Nudt18	ortholog_one2one	1	NUDT18:ENSG00000275074
Nutf2	ambiguous_ortholog_one2many	1	NUTF2:ENSG00000102898
Nxn	ortholog_one2one	1	NXN:ENSG00000167693
Nxnl2	ortholog_one2one	1	NXNL2:ENSG00000130045
Oas1F	NOT_FOUND_IN_BIOMART	0	
Oas2	ortholog_one2one	1	OAS2:ENSG00000111335
Oas3	ortholog_one2one	1	OAS3:ENSG00000111331
Oasl1	ortholog_one2one	1	OASL:ENSG00000135114
Oasl2	NO_ORTHOLOG	0	
Oaz2	ortholog_one2one	1	OAZ2:ENSG00000180304
Ogn	ortholog_one2one	1	OGN:ENSG00000106809
Olfr1318	NOT_FOUND_IN_BIOMART	0	
Omp	ortholog_one2one	1	OMP:ENSG00000254550
Onecut2	ortholog_one2one	1	ONECUT2:ENSG00000119547
Ophn1	ortholog_one2one	1	OPHN1:ENSG00000079482
Orai1	ortholog_one2one	1	ORAI1:ENSG00000276045
Orai3	ortholog_one2one	1	ORAI3:ENSG00000175938
Osbpl3	ortholog_one2one	1	OSBPL3:ENSG00000070882
Osbpl5	ortholog_one2one	1	OSBPL5:ENSG00000021762
Osgin1	ortholog_one2one	1	OSGIN1:ENSG00000140961
Osmr	ortholog_one2one	1	OSMR:ENSG00000145623
Osr1	ortholog_one2one	1	OSR1:ENSG00000143867
Otop3	ortholog_one2one	1	OTOP3:ENSG00000182938
Otub2	ortholog_one2one	1	OTUB2:ENSG00000089723
Otud1	ortholog_one2one	1	OTUD1:ENSG00000165312
Otud7B	NOT_FOUND_IN_BIOMART	0	
Oxct2B	NOT_FOUND_IN_BIOMART	0	
Oxr1	ortholog_one2one	1	OXR1:ENSG00000164830
P2Rx2	NOT_FOUND_IN_BIOMART	0	
P2Ry2	NOT_FOUND_IN_BIOMART	0	
P2Ry6	NOT_FOUND_IN_BIOMART	0	
Pabpc1	NO_ORTHOLOG	0	
Pabpn1	ortholog_one2one	1	PABPN1:ENSG00000100836
Pacrg	ortholog_one2one	1	PACRG:ENSG00000112530
Pacsin3	ortholog_one2one	1	PACSIN3:ENSG00000165912
Padi2	ortholog_one2one	1	PADI2:ENSG00000117115
Pak1	ortholog_one2one	1	PAK1:ENSG00000149269
Pak3	ortholog_one2one	1	PAK3:ENSG00000077264
Pak6	ortholog_one2one	1	PAK6:ENSG00000137843
Pald1	ortholog_one2one	1	PALD1:ENSG00000107719
Palld	ortholog_one2one	1	PALLD:ENSG00000129116
Palm	ortholog_one2one	1	PALM:ENSG00000099864
Palmd	ortholog_one2one	1	PALMD:ENSG00000099260
Pam	ortholog_one2one	1	PAM:ENSG00000145730
Pamr1	ortholog_one2one	1	PAMR1:ENSG00000149090
Paqr5	ortholog_one2one	1	PAQR5:ENSG00000137819
Paqr7	ortholog_one2one	1	PAQR7:ENSG00000182749
Paqr8	ortholog_one2one	1	PAQR8:ENSG00000170915
Pard6B	NOT_FOUND_IN_BIOMART	0	
Parm1	ortholog_one2one	1	PARM1:ENSG00000169116
Parp12	ortholog_one2one	1	PARP12:ENSG00000059378
Parp14	ortholog_one2one	1	PARP14:ENSG00000173193
Parp8	ortholog_one2one	1	PARP8:ENSG00000151883
Parva	ortholog_one2one	1	PARVA:ENSG00000197702
Pax8	ortholog_one2one	1	PAX8:ENSG00000125618
Pbdc1	ortholog_one2one	1	PBDC1:ENSG00000102390
Pbx1	ortholog_one2one	1	PBX1:ENSG00000185630
Pbxip1	ortholog_one2one	1	PBXIP1:ENSG00000163346
Pcbp3	ortholog_one2one	1	PCBP3:ENSG00000183570
Pcgf6	ortholog_one2one	1	PCGF6:ENSG00000156374
Pcnxl4	NOT_FOUND_IN_BIOMART	0	
Pcolce	ortholog_one2one	1	PCOLCE:ENSG00000106333
Pcsk6	ortholog_one2one	1	PCSK6:ENSG00000140479
Pcyt1A	NOT_FOUND_IN_BIOMART	0	
Pcyt1B	NOT_FOUND_IN_BIOMART	0	
Pdgfb	ortholog_one2one	1	PDGFB:ENSG00000100311
Pdgfc	ortholog_one2one	1	PDGFC:ENSG00000145431
Pdgfra	ortholog_one2one	1	PDGFRA:ENSG00000134853
Pdlim2	ortholog_one2one	1	PDLIM2:ENSG00000120913
Pdlim4	ortholog_one2one	1	PDLIM4:ENSG00000131435
Pdlim7	ortholog_one2one	1	PDLIM7:ENSG00000196923
Pdpn	ortholog_one2one	1	PDPN:ENSG00000162493
Pdrg1	ortholog_one2one	1	PDRG1:ENSG00000088356
Pdxk	ortholog_one2one	1	PDXK:ENSG00000160209
Pdzk1Ip1	NOT_FOUND_IN_BIOMART	0	
Pdzrn3	ortholog_one2one	1	PDZRN3:ENSG00000121440
Pear1	ortholog_one2one	1	PEAR1:ENSG00000187800
Perp	ortholog_one2one	1	PERP:ENSG00000112378
Pes1	ortholog_one2one	1	PES1:ENSG00000100029
Pex19	ortholog_one2one	1	PEX19:ENSG00000162735
Pfdn2	ortholog_one2one	1	PFDN2:ENSG00000143256
Pfn2	ortholog_one2one	1	PFN2:ENSG00000070087
Pgap1	ortholog_one2one	1	PGAP1:ENSG00000197121
Pglyrp1	ortholog_one2one	1	PGLYRP1:ENSG00000008438
Phlda1	ortholog_one2one	1	PHLDA1:ENSG00000139289
Phlda2	ortholog_one2one	1	PHLDA2:ENSG00000181649
Phlda3	ortholog_one2one	1	PHLDA3:ENSG00000174307
Phldb2	ortholog_one2one	1	PHLDB2:ENSG00000144824
Pias3	ortholog_one2one	1	PIAS3:ENSG00000131788
Picalm	ortholog_one2one	1	PICALM:ENSG00000073921
Piezo1	ortholog_one2one	1	PIEZO1:ENSG00000103335
Pifo	NOT_FOUND_IN_BIOMART	0	
Pik3C2G	NOT_FOUND_IN_BIOMART	0	
Pik3Ip1	NOT_FOUND_IN_BIOMART	0	
Pik3R3	NOT_FOUND_IN_BIOMART	0	
Pilra	NO_ORTHOLOG	0	
Pim1	ortholog_one2one	1	PIM1:ENSG00000137193
Pip4K2A	NOT_FOUND_IN_BIOMART	0	
Pip4K2B	NOT_FOUND_IN_BIOMART	0	
Pip4K2C	NOT_FOUND_IN_BIOMART	0	
Pip5K1A	NOT_FOUND_IN_BIOMART	0	
Pir	ortholog_one2one	1	PIR:ENSG00000087842
Pitpna	ortholog_one2one	1	PITPNA:ENSG00000174238
Pitpnm3	ortholog_one2one	1	PITPNM3:ENSG00000091622
Pkd2	ortholog_one2one	1	PKD2:ENSG00000118762
Pkia	ortholog_one2one	1	PKIA:ENSG00000171033
Pkp4	ortholog_one2one	1	PKP4:ENSG00000144283
Pla1A	NOT_FOUND_IN_BIOMART	0	
Pla2G15	NOT_FOUND_IN_BIOMART	0	
Pla2G2A	NOT_FOUND_IN_BIOMART	0	
Plat	ortholog_one2one	1	PLAT:ENSG00000104368
Plau	ortholog_one2one	1	PLAU:ENSG00000122861
Plaur	ortholog_one2one	1	PLAUR:ENSG00000011422
Plcd3	ortholog_one2one	1	PLCD3:ENSG00000161714
Pld3	ortholog_one2one	1	PLD3:ENSG00000105223
Plec	ortholog_one2one	1	PLEC:ENSG00000178209
Plekhg3	ortholog_one2one	1	PLEKHG3:ENSG00000126822
Plekhh1	ortholog_one2one	1	PLEKHH1:ENSG00000054690
Plekhm3	ortholog_one2one	1	PLEKHM3:ENSG00000178385
Plekhs1	ortholog_one2one	1	PLEKHS1:ENSG00000148735
Plet1	ortholog_one2one	1	PLET1:ENSG00000188771
Plin4	ortholog_one2one	1	PLIN4:ENSG00000167676
Plk2	ortholog_one2one	1	PLK2:ENSG00000145632
Pllp	ortholog_one2one	1	PLLP:ENSG00000102934
Plod2	ortholog_one2one	1	PLOD2:ENSG00000152952
Pls3	ortholog_one2one	1	PLS3:ENSG00000102024
Plscr1	ambiguous_ortholog_one2many	1	PLSCR1:ENSG00000188313
Plscr2	ambiguous_ortholog_one2many	1	PLSCR1:ENSG00000188313
Plscr4	ortholog_one2one	1	PLSCR4:ENSG00000114698
Pltp	ortholog_one2one	1	PLTP:ENSG00000100979
Plxnb2	ortholog_one2one	1	PLXNB2:ENSG00000196576
Pmaip1	ortholog_one2one	1	PMAIP1:ENSG00000141682
Pmepa1	ortholog_one2one	1	PMEPA1:ENSG00000124225
Pmm1	ortholog_one2one	1	PMM1:ENSG00000100417
Pmp22	ortholog_one2one	1	PMP22:ENSG00000109099
Pnpt1	ortholog_one2one	1	PNPT1:ENSG00000138035
Podxl	ortholog_one2one	1	PODXL:ENSG00000128567
Polr2L	NOT_FOUND_IN_BIOMART	0	
Porcn	ortholog_one2one	1	PORCN:ENSG00000102312
Postn	ortholog_one2one	1	POSTN:ENSG00000133110
Pou6F1	NOT_FOUND_IN_BIOMART	0	
Pparg	ortholog_one2one	1	PPARG:ENSG00000132170
Ppbp	NO_ORTHOLOG	0	
Ppfibp1	ortholog_one2one	1	PPFIBP1:ENSG00000110841
Ppfibp2	ortholog_one2one	1	PPFIBP2:ENSG00000166387
Ppic	ortholog_one2one	1	PPIC:ENSG00000168938
Ppl	ortholog_one2one	1	PPL:ENSG00000118898
Ppm1K	NOT_FOUND_IN_BIOMART	0	
Ppm1M	NOT_FOUND_IN_BIOMART	0	
Ppp1R11	NOT_FOUND_IN_BIOMART	0	
Ppp1R15A	NOT_FOUND_IN_BIOMART	0	
Ppp1R18	NOT_FOUND_IN_BIOMART	0	
Ppp1R2	NOT_FOUND_IN_BIOMART	0	
Ppp1R3C	NOT_FOUND_IN_BIOMART	0	
Ppp1R3D	NOT_FOUND_IN_BIOMART	0	
Ppp1R7	NOT_FOUND_IN_BIOMART	0	
Ppp1R9A	NOT_FOUND_IN_BIOMART	0	
Ppp2R2B	NOT_FOUND_IN_BIOMART	0	
Pramef8	NOT_FOUND_IN_BIOMART	0	
Prc1	ortholog_one2one	1	PRC1:ENSG00000198901
Prkaa1	ortholog_one2one	1	PRKAA1:ENSG00000132356
Prkacb	ortholog_one2one	1	PRKACB:ENSG00000142875
Prkar1A	NOT_FOUND_IN_BIOMART	0	
Prkar2B	NOT_FOUND_IN_BIOMART	0	
Prkca	ortholog_one2one	1	PRKCA:ENSG00000154229
Prkcdbp	NOT_FOUND_IN_BIOMART	0	
Prkch	ortholog_one2one	1	PRKCH:ENSG00000027075
Prkcz	ortholog_one2one	1	PRKCZ:ENSG00000067606
Prkd3	ortholog_one2one	1	PRKD3:ENSG00000115825
Prl2C3	NOT_FOUND_IN_BIOMART	0	
Prmt2	ortholog_one2one	1	PRMT2:ENSG00000160310
Prnd	ortholog_one2one	1	PRND:ENSG00000171864
Prnp	ortholog_one2one	1	PRNP:ENSG00000171867
Proc	NO_ORTHOLOG	0	
Prom1	ortholog_one2one	1	PROM1:ENSG00000007062
Prps2	ortholog_one2one	1	PRPS2:ENSG00000101911
Prr13	NO_ORTHOLOG	0	
Prr18	ortholog_one2one	1	PRR18:ENSG00000176381
Prrg4	ortholog_one2one	1	PRRG4:ENSG00000135378
Prss22	ortholog_one2one	1	PRSS22:ENSG00000005001
Prss23	ortholog_one2one	1	PRSS23:ENSG00000150687
Psapl1	ortholog_one2one	1	PSAPL1:ENSG00000178597
Psca	ortholog_one2one	1	PSCA:ENSG00000167653
Psma3	ortholog_one2one	1	PSMA3:ENSG00000100567
Psrc1	ortholog_one2one	1	PSRC1:ENSG00000134222
Ptgs1	ortholog_one2one	1	PTGS1:ENSG00000095303
Ptgs2	ortholog_one2one	1	PTGS2:ENSG00000073756
Ptk7	ortholog_one2one	1	PTK7:ENSG00000112655
Ptp4A3	NOT_FOUND_IN_BIOMART	0	
Ptpdc1	ortholog_one2one	1	PTPDC1:ENSG00000158079
Ptpn14	ortholog_one2one	1	PTPN14:ENSG00000152104
Ptpn21	ortholog_one2one	1	PTPN21:ENSG00000070778
Ptprb	ortholog_one2one	1	PTPRB:ENSG00000127329
Ptpre	ortholog_one2one	1	PTPRE:ENSG00000132334
Ptprk	ortholog_one2one	1	PTPRK:ENSG00000152894
Ptprr	ortholog_one2one	1	PTPRR:ENSG00000153233
Ptprs	ortholog_one2one	1	PTPRS:ENSG00000105426
Ptprt	ortholog_one2one	1	PTPRT:ENSG00000196090
Ptrf	NOT_FOUND_IN_BIOMART	0	
Ptrh1	ortholog_one2one	1	PTRH1:ENSG00000187024
Pum2	ortholog_one2one	1	PUM2:ENSG00000055917
Pvr	ortholog_one2one	1	PVR:ENSG00000073008
Pwwp2B	NOT_FOUND_IN_BIOMART	0	
Pycr2	ortholog_one2one	1	PYCR2:ENSG00000143811
Pygb	ortholog_one2one	1	PYGB:ENSG00000100994
Qsox1	ortholog_one2one	1	QSOX1:ENSG00000116260
R3Hdm4	NOT_FOUND_IN_BIOMART	0	
Rab11A	NOT_FOUND_IN_BIOMART	0	
Rab11Fip5	NOT_FOUND_IN_BIOMART	0	
Rab12	ortholog_one2one	1	RAB12:ENSG00000206418
Rab15	ortholog_one2one	1	RAB15:ENSG00000139998
Rab27A	NOT_FOUND_IN_BIOMART	0	
Rab27B	NOT_FOUND_IN_BIOMART	0	
Rab31	ortholog_one2one	1	RAB31:ENSG00000168461
Rab32	NO_ORTHOLOG	0	
Rab34	ortholog_one2one	1	RAB34:ENSG00000109113
Rab38	ortholog_one2one	1	RAB38:ENSG00000123892
Rabac1	ortholog_one2one	1	RABAC1:ENSG00000105404
Rac3	ortholog_one2one	1	RAC3:ENSG00000169750
Ranbp1	ortholog_one2one	1	RANBP1:ENSG00000099901
Rap1Gap	NOT_FOUND_IN_BIOMART	0	
Rapgef2	ortholog_one2one	1	RAPGEF2:ENSG00000109756
Rapgef6	ortholog_one2one	1	RAPGEF6:ENSG00000158987
Raph1	ortholog_one2one	1	RAPH1:ENSG00000173166
Rarres2	ortholog_one2one	1	RARRES2:ENSG00000106538
Rasgef1B	NOT_FOUND_IN_BIOMART	0	
